[18:45:10.096], STTP, 5, <--, MIX, 40, list, 9ff69419, SETUP, , , 1
[18:45:10.096], STTP, 5, , , , , , store_share, CPU: 0.009099 ms, wall: 0.005889 ms, 1
[18:45:10.104], STTP, 5, <--, MIX, 38, list, 4777c833, SETUP, , , 1
[18:45:10.120], STTP, 5, , , , , , store_share, CPU: 0.015711 ms, wall: 0.013101 ms, 1
[18:45:10.151], STTP, 5, <--, MIX, 5, list, 37b45934, SETUP, , , 1
[18:45:10.158], STTP, 5, , , , , , store_share, CPU: 0.008738 ms, wall: 0.007323 ms, 1
[18:45:10.175], STTP, 5, <--, MIX, 48, list, db3fedc2, SETUP, , , 1
[18:45:10.175], STTP, 5, , , , , , store_share, CPU: 0.009329 ms, wall: 0.007363 ms, 1
[18:45:10.199], STTP, 5, <--, MIX, 8, list, 443498ce, SETUP, , , 1
[18:45:10.199], STTP, 5, , , , , , store_share, CPU: 0.008095 ms, wall: 0.006456 ms, 1
[18:45:10.207], STTP, 5, <--, MIX, 26, list, 457e81d5, SETUP, , , 1
[18:45:10.208], STTP, 5, , , , , , store_share, CPU: 0.007996 ms, wall: 0.006033 ms, 1
[18:45:10.213], STTP, 5, <--, MIX, 6, list, 16553605, SETUP, , , 1
[18:45:10.280], STTP, 5, , , , , , store_share, CPU: 0.009567 ms, wall: 0.007248 ms, 1
[18:45:10.289], STTP, 5, <--, MIX, 24, list, 95de86c1, SETUP, , , 1
[18:45:10.294], STTP, 5, , , , , , store_share, CPU: 0.045181 ms, wall: 0.020029 ms, 1
[18:45:10.299], STTP, 5, <--, MIX, 42, list, 11430621, SETUP, , , 1
[18:45:10.299], STTP, 5, , , , , , store_share, CPU: 0.016676 ms, wall: 0.008081 ms, 1
[18:45:10.300], STTP, 5, <--, MIX, 19, list, b2944294, SETUP, , , 1
[18:45:10.303], STTP, 5, , , , , , store_share, CPU: 0.009656 ms, wall: 0.007009 ms, 1
[18:45:10.306], STTP, 5, <--, MIX, 29, list, dd8b5341, SETUP, , , 1
[18:45:10.307], STTP, 5, , , , , , store_share, CPU: 0.007730 ms, wall: 0.005957 ms, 1
[18:45:10.308], STTP, 5, <--, MIX, 4, list, cf094fae, SETUP, , , 1
[18:45:10.366], STTP, 5, , , , , , store_share, CPU: 0.007493 ms, wall: 0.006172 ms, 1
[18:45:10.367], STTP, 5, <--, MIX, 13, list, 2064f7c3, SETUP, , , 1
[18:45:10.368], STTP, 5, , , , , , store_share, CPU: 0.006729 ms, wall: 0.004997 ms, 1
[18:45:10.369], STTP, 5, <--, MIX, 37, list, 9a4091be, SETUP, , , 1
[18:45:10.373], STTP, 5, , , , , , store_share, CPU: 0.010031 ms, wall: 0.007753 ms, 1
[18:45:10.374], STTP, 5, <--, MIX, 43, list, f07c0988, SETUP, , , 1
[18:45:10.375], STTP, 5, , , , , , store_share, CPU: 0.007451 ms, wall: 0.005318 ms, 1
[18:45:10.375], STTP, 5, <--, MIX, 33, list, 6e3479ed, SETUP, , , 1
[18:45:10.376], STTP, 5, , , , , , store_share, CPU: 0.006695 ms, wall: 0.005031 ms, 1
[18:45:10.376], STTP, 5, <--, MIX, 30, list, b11476b7, SETUP, , , 1
[18:45:10.377], STTP, 5, , , , , , store_share, CPU: 0.006983 ms, wall: 0.005553 ms, 1
[18:45:10.377], STTP, 5, <--, MIX, 1, list, cd66fef2, SETUP, , , 1
[18:45:10.378], STTP, 5, , , , , , store_share, CPU: 0.006425 ms, wall: 0.005157 ms, 1
[18:45:10.378], STTP, 5, <--, MIX, 16, list, b3ba5489, SETUP, , , 1
[18:45:10.379], STTP, 5, , , , , , store_share, CPU: 0.006913 ms, wall: 0.005016 ms, 1
[18:45:10.380], STTP, 5, <--, MIX, 2, list, b0a1d977, SETUP, , , 1
[18:45:10.403], STTP, 5, , , , , , store_share, CPU: 0.008021 ms, wall: 0.006149 ms, 1
[18:45:10.404], STTP, 5, <--, MIX, 28, list, 09a140fb, SETUP, , , 1
[18:45:10.404], STTP, 5, , , , , , store_share, CPU: 0.006573 ms, wall: 0.005196 ms, 1
[18:45:10.405], STTP, 5, <--, MIX, 35, list, 351e29a5, SETUP, , , 1
[18:45:10.407], STTP, 5, , , , , , store_share, CPU: 0.023332 ms, wall: 0.012112 ms, 1
[18:45:10.407], STTP, 5, <--, MIX, 34, list, dac33185, SETUP, , , 1
[18:45:10.415], STTP, 5, , , , , , store_share, CPU: 0.007711 ms, wall: 0.005854 ms, 1
[18:45:10.416], STTP, 5, <--, MIX, 23, list, 2704110f, SETUP, , , 1
[18:45:10.416], STTP, 5, , , , , , store_share, CPU: 0.006314 ms, wall: 0.005081 ms, 1
[18:45:10.417], STTP, 5, <--, MIX, 25, list, f468ed9f, SETUP, , , 1
[18:45:10.423], STTP, 5, , , , , , store_share, CPU: 0.007780 ms, wall: 0.006247 ms, 1
[18:45:10.424], STTP, 5, <--, MIX, 10, list, 6413bca5, SETUP, , , 1
[18:45:10.424], STTP, 5, , , , , , store_share, CPU: 0.006721 ms, wall: 0.005282 ms, 1
[18:45:10.425], STTP, 5, <--, MIX, 21, list, 53c495f8, SETUP, , , 1
[18:45:10.426], STTP, 5, , , , , , store_share, CPU: 0.006314 ms, wall: 0.005023 ms, 1
[18:45:10.426], STTP, 5, <--, MIX, 27, list, 5055119e, SETUP, , , 1
[18:45:10.427], STTP, 5, , , , , , store_share, CPU: 0.006584 ms, wall: 0.004934 ms, 1
[18:45:10.427], STTP, 5, <--, MIX, 36, list, a188fd8a, SETUP, , , 1
[18:45:10.428], STTP, 5, , , , , , store_share, CPU: 0.006603 ms, wall: 0.005144 ms, 1
[18:45:10.428], STTP, 5, <--, MIX, 46, list, 54fa7836, SETUP, , , 1
[18:45:10.429], STTP, 5, , , , , , store_share, CPU: 0.006897 ms, wall: 0.005209 ms, 1
[18:45:10.429], STTP, 5, <--, MIX, 41, list, 4ad0f42b, SETUP, , , 1
[18:45:10.430], STTP, 5, , , , , , store_share, CPU: 0.006033 ms, wall: 0.004762 ms, 1
[18:45:10.430], STTP, 5, <--, MIX, 12, list, 5e620618, SETUP, , , 1
[18:45:10.431], STTP, 5, , , , , , store_share, CPU: 0.006726 ms, wall: 0.005028 ms, 1
[18:45:10.431], STTP, 5, <--, MIX, 7, list, 627f3c82, SETUP, , , 1
[18:45:10.432], STTP, 5, , , , , , store_share, CPU: 0.007243 ms, wall: 0.005439 ms, 1
[18:45:10.433], STTP, 5, <--, MIX, 18, list, 1a80827b, SETUP, , , 1
[18:45:10.433], STTP, 5, , , , , , store_share, CPU: 0.006434 ms, wall: 0.004823 ms, 1
[18:45:10.434], STTP, 5, <--, MIX, 14, list, 5dfe470f, SETUP, , , 1
[18:45:10.434], STTP, 5, , , , , , store_share, CPU: 0.006216 ms, wall: 0.004846 ms, 1
[18:45:10.435], STTP, 5, <--, MIX, 44, list, a6c3e139, SETUP, , , 1
[18:45:10.435], STTP, 5, , , , , , store_share, CPU: 0.006311 ms, wall: 0.004634 ms, 1
[18:45:10.435], STTP, 5, <--, MIX, 45, list, a9e59f35, SETUP, , , 1
[18:45:10.436], STTP, 5, , , , , , store_share, CPU: 0.005761 ms, wall: 0.004651 ms, 1
[18:45:10.436], STTP, 5, <--, MIX, 22, list, 4a1fdf23, SETUP, , , 1
[18:45:10.437], STTP, 5, , , , , , store_share, CPU: 0.005969 ms, wall: 0.004783 ms, 1
[18:45:10.437], STTP, 5, <--, MIX, 9, list, 712ffb5b, SETUP, , , 1
[18:45:10.438], STTP, 5, , , , , , store_share, CPU: 0.005841 ms, wall: 0.004718 ms, 1
[18:45:10.438], STTP, 5, <--, MIX, 32, list, 957d5f1b, SETUP, , , 1
[18:45:10.438], STTP, 5, , , , , , store_share, CPU: 0.003627 ms, wall: 0.002470 ms, 1
[18:45:10.439], STTP, 5, <--, MIX, 31, list, b8022ad1, SETUP, , , 1
[18:45:10.439], STTP, 5, , , , , , store_share, CPU: 0.003604 ms, wall: 0.002073 ms, 1
[18:45:10.439], STTP, 5, <--, MIX, 49, list, 5a61148e, SETUP, , , 1
[18:45:10.439], STTP, 5, , , , , , store_share, CPU: 0.002034 ms, wall: 0.001677 ms, 1
[18:45:10.440], STTP, 5, <--, MIX, 39, list, feb01a8c, SETUP, , , 1
[18:45:10.440], STTP, 5, , , , , , store_share, CPU: 0.001860 ms, wall: 0.001640 ms, 1
[18:45:10.440], STTP, 5, <--, MIX, 15, list, 7b8c66f2, SETUP, , , 1
[18:45:10.440], STTP, 5, , , , , , store_share, CPU: 0.001934 ms, wall: 0.001690 ms, 1
[18:45:10.440], STTP, 5, <--, MIX, 17, list, caa7f69c, SETUP, , , 1
[18:45:10.440], STTP, 5, , , , , , store_share, CPU: 0.001934 ms, wall: 0.001553 ms, 1
[18:45:10.441], STTP, 5, <--, MIX, 50, list, 77b93f91, SETUP, , , 1
[18:45:10.441], STTP, 5, , , , , , store_share, CPU: 0.001782 ms, wall: 0.001594 ms, 1
[18:45:10.441], STTP, 5, <--, MIX, 3, list, 089503f6, SETUP, , , 1
[18:45:10.441], STTP, 5, , , , , , store_share, CPU: 0.001946 ms, wall: 0.001632 ms, 1
[18:45:10.441], STTP, 5, <--, MIX, 20, list, dc22d1b4, SETUP, , , 1
[18:45:10.441], STTP, 5, , , , , , store_share, CPU: 0.001932 ms, wall: 0.001551 ms, 1
[18:45:10.441], STTP, 5, <--, MIX, 47, list, 84bd48ca, SETUP, , , 1
[18:45:10.442], STTP, 5, , , , , , store_share, CPU: 0.001698 ms, wall: 0.001439 ms, 1
[18:45:10.525], STTP, 5, <--, MIX, 11, list, 3833f8a5, SETUP, , , 1
[18:45:10.525], STTP, 5, , , , , , store_share, CPU: 0.037235 ms, wall: 0.035562 ms, 1
[18:45:12.335], STTP, 5, <--, CLIENT, 4, list, 85db7534, ROUTE, , , 1
[18:45:12.336], STTP, 5, -->, CLIENT, 4, list, cce8a0cb, ROUTE, , , 1
[18:45:12.336], STTP, 5, , , , , , send_share, CPU: 1.167422 ms, wall: 1.183509 ms, 1
[18:45:12.539], STTP, 5, <--, CLIENT, 3, list, a3c052b4, ROUTE, , , 1
[18:45:12.540], STTP, 5, -->, CLIENT, 3, list, 6fe2399a, ROUTE, , , 1
[18:45:12.541], STTP, 5, , , , , , send_share, CPU: 1.036020 ms, wall: 1.048673 ms, 1
[18:45:12.541], STTP, 5, <--, CLIENT, 20, list, 5d3d0408, ROUTE, , , 1
[18:45:12.542], STTP, 5, -->, CLIENT, 20, list, 0467ec5e, ROUTE, , , 1
[18:45:12.542], STTP, 5, , , , , , send_share, CPU: 0.830683 ms, wall: 0.835784 ms, 1
[18:45:12.754], STTP, 5, <--, CLIENT, 91, list, 92150671, ROUTE, , , 1
[18:45:12.756], STTP, 5, -->, CLIENT, 91, list, ba6c3ac0, ROUTE, , , 1
[18:45:12.757], STTP, 5, , , , , , send_share, CPU: 2.128638 ms, wall: 2.156361 ms, 1
[18:45:12.784], STTP, 5, <--, CLIENT, 14, list, 7f2ca755, ROUTE, , , 1
[18:45:12.785], STTP, 5, -->, CLIENT, 14, list, f6ca8fe6, ROUTE, , , 1
[18:45:12.785], STTP, 5, , , , , , send_share, CPU: 0.816420 ms, wall: 0.828837 ms, 1
[18:45:12.813], STTP, 5, <--, CLIENT, 43, list, 1960797c, ROUTE, , , 1
[18:45:12.815], STTP, 5, -->, CLIENT, 43, list, 93a73794, ROUTE, , , 1
[18:45:12.815], STTP, 5, , , , , , send_share, CPU: 2.289005 ms, wall: 2.324185 ms, 1
[18:45:12.832], STTP, 5, <--, CLIENT, 27, list, 2541202f, ROUTE, , , 1
[18:45:12.833], STTP, 5, -->, CLIENT, 27, list, 6773bbbc, ROUTE, , , 1
[18:45:12.833], STTP, 5, , , , , , send_share, CPU: 0.752531 ms, wall: 0.757330 ms, 1
[18:45:13.072], STTP, 5, <--, CLIENT, 68, list, ce55ed6d, ROUTE, , , 1
[18:45:13.073], STTP, 5, -->, CLIENT, 68, list, e09cd6ad, ROUTE, , , 1
[18:45:13.074], STTP, 5, , , , , , send_share, CPU: 1.072044 ms, wall: 1.806935 ms, 1
[18:45:13.089], STTP, 5, <--, CLIENT, 47, list, ac158d34, ROUTE, , , 1
[18:45:13.090], STTP, 5, -->, CLIENT, 47, list, 5dc62433, ROUTE, , , 1
[18:45:13.090], STTP, 5, , , , , , send_share, CPU: 1.144115 ms, wall: 1.162424 ms, 1
