[18:45:10.115], STTP, 6, <--, MIX, 38, list, d64c1b8d, SETUP, , , 1
[18:45:10.115], STTP, 6, , , , , , store_share, CPU: 0.010882 ms, wall: 0.008109 ms, 1
[18:45:10.139], STTP, 6, <--, MIX, 40, list, 6ef3e486, SETUP, , , 1
[18:45:10.139], STTP, 6, , , , , , store_share, CPU: 0.012516 ms, wall: 0.010123 ms, 1
[18:45:10.162], STTP, 6, <--, MIX, 5, list, e595a8f0, SETUP, , , 1
[18:45:10.199], STTP, 6, , , , , , store_share, CPU: 0.009879 ms, wall: 0.007921 ms, 1
[18:45:10.200], STTP, 6, <--, MIX, 48, list, 272cdda5, SETUP, , , 1
[18:45:10.205], STTP, 6, , , , , , store_share, CPU: 0.009740 ms, wall: 0.007486 ms, 1
[18:45:10.206], STTP, 6, <--, MIX, 26, list, 20820549, SETUP, , , 1
[18:45:10.276], STTP, 6, , , , , , store_share, CPU: 0.008482 ms, wall: 0.007177 ms, 1
[18:45:10.277], STTP, 6, <--, MIX, 42, list, d4401a36, SETUP, , , 1
[18:45:10.277], STTP, 6, , , , , , store_share, CPU: 0.007893 ms, wall: 0.005729 ms, 1
[18:45:10.282], STTP, 6, <--, MIX, 19, list, 28e38163, SETUP, , , 1
[18:45:10.326], STTP, 6, , , , , , store_share, CPU: 0.007800 ms, wall: 0.006322 ms, 1
[18:45:10.327], STTP, 6, <--, MIX, 6, list, 3e094730, SETUP, , , 1
[18:45:10.328], STTP, 6, , , , , , store_share, CPU: 0.007148 ms, wall: 0.005143 ms, 1
[18:45:10.330], STTP, 6, <--, MIX, 29, list, ecff7084, SETUP, , , 1
[18:45:10.330], STTP, 6, , , , , , store_share, CPU: 0.003615 ms, wall: 0.002918 ms, 1
[18:45:10.331], STTP, 6, <--, MIX, 13, list, 4e18d483, SETUP, , , 1
[18:45:10.331], STTP, 6, , , , , , store_share, CPU: 0.003257 ms, wall: 0.002586 ms, 1
[18:45:10.331], STTP, 6, <--, MIX, 37, list, 5eecac97, SETUP, , , 1
[18:45:10.331], STTP, 6, , , , , , store_share, CPU: 0.002403 ms, wall: 0.001927 ms, 1
[18:45:10.332], STTP, 6, <--, MIX, 4, list, 95f51213, SETUP, , , 1
[18:45:10.332], STTP, 6, , , , , , store_share, CPU: 0.017158 ms, wall: 0.005074 ms, 1
[18:45:10.333], STTP, 6, <--, MIX, 43, list, 39d3c9c3, SETUP, , , 1
[18:45:10.333], STTP, 6, , , , , , store_share, CPU: 0.003543 ms, wall: 0.002684 ms, 1
[18:45:10.333], STTP, 6, <--, MIX, 24, list, d3a78654, SETUP, , , 1
[18:45:10.333], STTP, 6, , , , , , store_share, CPU: 0.003084 ms, wall: 0.002365 ms, 1
[18:45:10.334], STTP, 6, <--, MIX, 33, list, 2f57a619, SETUP, , , 1
[18:45:10.334], STTP, 6, , , , , , store_share, CPU: 0.003801 ms, wall: 0.002990 ms, 1
[18:45:10.334], STTP, 6, <--, MIX, 30, list, 2b755646, SETUP, , , 1
[18:45:10.335], STTP, 6, , , , , , store_share, CPU: 0.003010 ms, wall: 0.002216 ms, 1
[18:45:10.335], STTP, 6, <--, MIX, 8, list, 37ca42bf, SETUP, , , 1
[18:45:10.335], STTP, 6, , , , , , store_share, CPU: 0.003893 ms, wall: 0.002961 ms, 1
[18:45:10.336], STTP, 6, <--, MIX, 2, list, bc740022, SETUP, , , 1
[18:45:10.336], STTP, 6, , , , , , store_share, CPU: 0.003801 ms, wall: 0.002983 ms, 1
[18:45:10.336], STTP, 6, <--, MIX, 1, list, e93ec16c, SETUP, , , 1
[18:45:10.336], STTP, 6, , , , , , store_share, CPU: 0.003359 ms, wall: 0.002833 ms, 1
[18:45:10.337], STTP, 6, <--, MIX, 28, list, 160167b6, SETUP, , , 1
[18:45:10.337], STTP, 6, , , , , , store_share, CPU: 0.003371 ms, wall: 0.002598 ms, 1
[18:45:10.337], STTP, 6, <--, MIX, 16, list, 45779edf, SETUP, , , 1
[18:45:10.337], STTP, 6, , , , , , store_share, CPU: 0.003567 ms, wall: 0.002619 ms, 1
[18:45:10.338], STTP, 6, <--, MIX, 34, list, 8612fdb5, SETUP, , , 1
[18:45:10.338], STTP, 6, , , , , , store_share, CPU: 0.002676 ms, wall: 0.002102 ms, 1
[18:45:10.338], STTP, 6, <--, MIX, 23, list, 6b29a67f, SETUP, , , 1
[18:45:10.338], STTP, 6, , , , , , store_share, CPU: 0.003644 ms, wall: 0.002831 ms, 1
[18:45:10.339], STTP, 6, <--, MIX, 25, list, 90b28c8d, SETUP, , , 1
[18:45:10.339], STTP, 6, , , , , , store_share, CPU: 0.003207 ms, wall: 0.002742 ms, 1
[18:45:10.339], STTP, 6, <--, MIX, 10, list, aa8676e0, SETUP, , , 1
