[18:45:10.118], STTP, 7, <--, MIX, 38, list, 508fa96e, SETUP, , , 1
[18:45:10.165], STTP, 7, , , , , , store_share, CPU: 0.013592 ms, wall: 0.008855 ms, 1
[18:45:10.165], STTP, 7, <--, MIX, 40, list, 2d5f570d, SETUP, , , 1
[18:45:10.170], STTP, 7, , , , , , store_share, CPU: 0.004362 ms, wall: 0.006371 ms, 1
[18:45:10.171], STTP, 7, <--, MIX, 48, list, 7923d059, SETUP, , , 1
[18:45:10.225], STTP, 7, , , , , , store_share, CPU: 0.005214 ms, wall: 0.004186 ms, 1
[18:45:10.226], STTP, 7, <--, MIX, 5, list, 9c0a6079, SETUP, , , 1
[18:45:10.288], STTP, 7, , , , , , store_share, CPU: 0.005218 ms, wall: 0.004262 ms, 1
[18:45:10.289], STTP, 7, <--, MIX, 42, list, 03e35442, SETUP, , , 1
[18:45:10.289], STTP, 7, , , , , , store_share, CPU: 0.004441 ms, wall: 0.003487 ms, 1
[18:45:10.290], STTP, 7, <--, MIX, 29, list, 26aaedf4, SETUP, , , 1
[18:45:10.294], STTP, 7, , , , , , store_share, CPU: 0.009058 ms, wall: 0.006698 ms, 1
[18:45:10.296], STTP, 7, <--, MIX, 13, list, 55ef17cd, SETUP, , , 1
[18:45:10.354], STTP, 7, , , , , , store_share, CPU: 0.006850 ms, wall: 0.005463 ms, 1
[18:45:10.355], STTP, 7, <--, MIX, 26, list, c8689567, SETUP, , , 1
[18:45:10.357], STTP, 7, , , , , , store_share, CPU: 0.008153 ms, wall: 0.006665 ms, 1
[18:45:10.359], STTP, 7, <--, MIX, 24, list, b6a4bf8c, SETUP, , , 1
[18:45:10.359], STTP, 7, , , , , , store_share, CPU: 0.008365 ms, wall: 0.006574 ms, 1
[18:45:10.360], STTP, 7, <--, MIX, 33, list, 86844c4d, SETUP, , , 1
[18:45:10.360], STTP, 7, , , , , , store_share, CPU: 0.006486 ms, wall: 0.004864 ms, 1
[18:45:10.361], STTP, 7, <--, MIX, 43, list, 30e6a211, SETUP, , , 1
[18:45:10.361], STTP, 7, , , , , , store_share, CPU: 0.006698 ms, wall: 0.005489 ms, 1
[18:45:10.362], STTP, 7, <--, MIX, 37, list, cbbd8940, SETUP, , , 1
[18:45:10.363], STTP, 7, , , , , , store_share, CPU: 0.006588 ms, wall: 0.005361 ms, 1
[18:45:10.363], STTP, 7, <--, MIX, 30, list, c2ce092b, SETUP, , , 1
