[18:45:10.126], STTP, 8, <--, MIX, 38, list, 618d1ca5, SETUP, , , 1
[18:45:10.139], STTP, 8, , , , , , store_share, CPU: 0.016121 ms, wall: 0.010965 ms, 1
[18:45:10.169], STTP, 8, <--, MIX, 48, list, 251eceb8, SETUP, , , 1
[18:45:10.202], STTP, 8, , , , , , store_share, CPU: 0.009319 ms, wall: 0.007644 ms, 1
[18:45:10.202], STTP, 8, <--, MIX, 5, list, f80fa5ad, SETUP, , , 1
[18:45:10.206], STTP, 8, , , , , , store_share, CPU: 0.005357 ms, wall: 0.004438 ms, 1
[18:45:10.207], STTP, 8, <--, MIX, 40, list, f7afb92c, SETUP, , , 1
[18:45:10.278], STTP, 8, , , , , , store_share, CPU: 0.008069 ms, wall: 0.006533 ms, 1
[18:45:10.279], STTP, 8, <--, MIX, 42, list, f16ed4d8, SETUP, , , 1
[18:45:10.279], STTP, 8, , , , , , store_share, CPU: 0.007351 ms, wall: 0.005657 ms, 1
[18:45:10.283], STTP, 8, <--, MIX, 29, list, a4b6085f, SETUP, , , 1
[18:45:10.283], STTP, 8, , , , , , store_share, CPU: 0.007401 ms, wall: 0.005748 ms, 1
[18:45:10.284], STTP, 8, <--, MIX, 13, list, 4bf1c495, SETUP, , , 1
[18:45:10.286], STTP, 8, , , , , , store_share, CPU: 0.036705 ms, wall: 0.014995 ms, 1
[18:45:10.287], STTP, 8, <--, MIX, 26, list, 81d149e6, SETUP, , , 1
[18:45:10.288], STTP, 8, , , , , , store_share, CPU: 0.006959 ms, wall: 0.005318 ms, 1
[18:45:10.288], STTP, 8, <--, MIX, 33, list, 18d5b005, SETUP, , , 1
[18:45:10.341], STTP, 8, , , , , , store_share, CPU: 0.004835 ms, wall: 0.004073 ms, 1
[18:45:10.342], STTP, 8, <--, MIX, 30, list, 98991200, SETUP, , , 1
[18:45:10.342], STTP, 8, , , , , , store_share, CPU: 0.002927 ms, wall: 0.002217 ms, 1
[18:45:10.342], STTP, 8, <--, MIX, 8, list, 2d0b037c, SETUP, , , 1
[18:45:10.342], STTP, 8, , , , , , store_share, CPU: 0.002089 ms, wall: 0.001739 ms, 1
[18:45:10.343], STTP, 8, <--, MIX, 24, list, bca33188, SETUP, , , 1
[18:45:10.345], STTP, 8, , , , , , store_share, CPU: 0.020373 ms, wall: 0.010879 ms, 1
[18:45:10.346], STTP, 8, <--, MIX, 37, list, 1d35cbf1, SETUP, , , 1
[18:45:10.346], STTP, 8, , , , , , store_share, CPU: 0.003530 ms, wall: 0.002653 ms, 1
[18:45:10.346], STTP, 8, <--, MIX, 4, list, a34e3dfb, SETUP, , , 1
[18:45:10.346], STTP, 8, , , , , , store_share, CPU: 0.003454 ms, wall: 0.002719 ms, 1
[18:45:10.347], STTP, 8, <--, MIX, 43, list, 3b6410bc, SETUP, , , 1
[18:45:10.349], STTP, 8, , , , , , store_share, CPU: 0.005014 ms, wall: 0.004147 ms, 1
[18:45:10.350], STTP, 8, <--, MIX, 2, list, 0bc2a916, SETUP, , , 1
[18:45:10.350], STTP, 8, , , , , , store_share, CPU: 0.003983 ms, wall: 0.003041 ms, 1
[18:45:10.350], STTP, 8, <--, MIX, 1, list, b20ea060, SETUP, , , 1
[18:45:10.351], STTP, 8, , , , , , store_share, CPU: 0.003899 ms, wall: 0.003072 ms, 1
[18:45:10.353], STTP, 8, <--, MIX, 19, list, c04658af, SETUP, , , 1
[18:45:10.353], STTP, 8, , , , , , store_share, CPU: 0.004166 ms, wall: 0.003436 ms, 1
[18:45:10.354], STTP, 8, <--, MIX, 16, list, 5d6c7542, SETUP, , , 1
[18:45:10.354], STTP, 8, , , , , , store_share, CPU: 0.003978 ms, wall: 0.003201 ms, 1
[18:45:10.354], STTP, 8, <--, MIX, 34, list, e1c8806f, SETUP, , , 1
[18:45:10.354], STTP, 8, , , , , , store_share, CPU: 0.002627 ms, wall: 0.002093 ms, 1
