[18:45:10.169], STTP, 9, <--, MIX, 38, list, e59dc514, SETUP, , , 1
[18:45:10.210], STTP, 9, , , , , , store_share, CPU: 0.011898 ms, wall: 0.008700 ms, 1
[18:45:10.214], STTP, 9, <--, MIX, 48, list, cf14fe15, SETUP, , , 1
[18:45:10.280], STTP, 9, , , , , , store_share, CPU: 0.010532 ms, wall: 0.008338 ms, 1
[18:45:10.281], STTP, 9, <--, MIX, 5, list, a123e6da, SETUP, , , 1
[18:45:10.281], STTP, 9, , , , , , store_share, CPU: 0.006600 ms, wall: 0.005372 ms, 1
[18:45:10.285], STTP, 9, <--, MIX, 29, list, f89eaeac, SETUP, , , 1
[18:45:10.285], STTP, 9, , , , , , store_share, CPU: 0.006948 ms, wall: 0.005549 ms, 1
[18:45:10.286], STTP, 9, <--, MIX, 40, list, 932daddd, SETUP, , , 1
[18:45:10.341], STTP, 9, , , , , , store_share, CPU: 0.005222 ms, wall: 0.004220 ms, 1
[18:45:10.342], STTP, 9, <--, MIX, 42, list, 6d8c9efd, SETUP, , , 1
[18:45:10.342], STTP, 9, , , , , , store_share, CPU: 0.003674 ms, wall: 0.002911 ms, 1
[18:45:10.342], STTP, 9, <--, MIX, 33, list, 367e6d96, SETUP, , , 1
[18:45:10.343], STTP, 9, , , , , , store_share, CPU: 0.003529 ms, wall: 0.002699 ms, 1
[18:45:10.351], STTP, 9, <--, MIX, 30, list, 19ba4203, SETUP, , , 1
[18:45:10.351], STTP, 9, , , , , , store_share, CPU: 0.004724 ms, wall: 0.003603 ms, 1
[18:45:10.352], STTP, 9, <--, MIX, 24, list, c1eb82f7, SETUP, , , 1
[18:45:10.352], STTP, 9, , , , , , store_share, CPU: 0.004203 ms, wall: 0.003530 ms, 1
[18:45:10.352], STTP, 9, <--, MIX, 26, list, 21312905, SETUP, , , 1
[18:45:10.353], STTP, 9, , , , , , store_share, CPU: 0.003876 ms, wall: 0.002830 ms, 1
[18:45:10.360], STTP, 9, <--, MIX, 4, list, 878b7a4e, SETUP, , , 1
[18:45:10.360], STTP, 9, , , , , , store_share, CPU: 0.004994 ms, wall: 0.003838 ms, 1
[18:45:10.361], STTP, 9, <--, MIX, 37, list, 1fa7708e, SETUP, , , 1
[18:45:10.361], STTP, 9, , , , , , store_share, CPU: 0.004206 ms, wall: 0.003168 ms, 1
[18:45:10.362], STTP, 9, <--, MIX, 43, list, 794d288d, SETUP, , , 1
[18:45:10.364], STTP, 9, , , , , , store_share, CPU: 0.005359 ms, wall: 1.863449 ms, 1
[18:45:10.364], STTP, 9, <--, MIX, 1, list, ca233ca5, SETUP, , , 1
[18:45:10.364], STTP, 9, , , , , , store_share, CPU: 0.004371 ms, wall: 0.003346 ms, 1
[18:45:10.365], STTP, 9, <--, MIX, 19, list, da439f9d, SETUP, , , 1
[18:45:10.365], STTP, 9, , , , , , store_share, CPU: 0.003198 ms, wall: 0.002620 ms, 1
[18:45:10.366], STTP, 9, <--, MIX, 13, list, 04f4dc24, SETUP, , , 1
