,TEST,Algo,STATISTIC,P-VALUE
0,     Frequency,DSphinx,3.47,0.9427212698129797
1,     Frequency,Sphinx,89.61,1.9494460382964124e-15
2,    Block Frequency,DSphinx,7.37,0.5986561806214997
3,    Block Frequency,Sphinx,4.03,0.9094269166679616
4,    Cumulative Sums,DSphinx,4.172499999999999,0.8996963799414663
5,    Cumulative Sums,Sphinx,78.9425,2.620657731563609e-13
6,    Runs,DSphinx,11.130000000000003,0.2669032864043157
7,    Runs,Sphinx,5.92,0.7478975881188554
8,   Longest Run,DSphinx,14.42,0.10814977025924809
9,   Longest Run,Sphinx,7.91,0.5432409517094527
10,   Rank,DSphinx,10.56,0.3070774518042104
11,   Rank,Sphinx,3.88,0.9191314942154243
12,  Discrete Fourier Transform,DSphinx,16.29,0.061067101483468784
13,  Discrete Fourier Transform,Sphinx,10.47,0.313791616064465
14,  Non-overlapping Matchings,DSphinx,0.10766435354273217,0.999999964378014
15,  Non-overlapping Matchings,Sphinx,0.04269494156318463,0.9999999994303357
16,  Overlapping Matchings,DSphinx,7.84,0.5503474641773244
17,  Overlapping Matchings,Sphinx,30.12,0.0004185634343455116
18,  Universal Statistical,DSphinx,15.780000000000001,0.07162033800972283
19,  Universal Statistical,Sphinx,15.049999999999999,0.08957168661974053
20, Approximate Entropy,DSphinx,26.36,0.001783389528736274
21, Approximate Entropy,Sphinx,1.9,0.9929519746920032
22, Random Excursions,DSphinx,2.0971403301886795,0.9898365693350667
23, Random Excursions,Sphinx,1.5253466204506065,0.9969543290132369
24, Random Excursions Variant,DSphinx,0.7712749437068074,0.9998082762693152
25, Random Excursions Variant,Sphinx,0.7521770759783463,0.9998274040922311
26, Serial,DSphinx,4.07,0.9067451272314155
27, Serial,Sphinx,5.9275,0.7471519218556228
28,Linear Complexity,DSphinx,6.33,0.7064899122990426
29,Linear Complexity,Sphinx,7.31,0.604878370801992
