,TEST_NUM,TEST,Algo,STATISTIC,P-VALUE
0,1,     Frequency,DSphinx,3.47,0.9427212698129797
1,1,     Frequency,Sphinx,89.61,1.9494460382964124e-15
2,2,    Block Frequency,DSphinx,7.37,0.5986561806214997
3,2,    Block Frequency,Sphinx,4.03,0.9094269166679616
4,3,    Cumulative Sums,DSphinx,4.172499999999999,0.8996963799414663
5,3,    Cumulative Sums,Sphinx,78.9425,2.620657731563609e-13
6,4,    Runs,DSphinx,11.130000000000003,0.2669032864043157
7,4,    Runs,Sphinx,5.92,0.7478975881188554
8,5,   Longest Run,DSphinx,14.42,0.10814977025924809
9,5,   Longest Run,Sphinx,7.91,0.5432409517094527
10,6,   Rank,DSphinx,10.56,0.3070774518042104
11,6,   Rank,Sphinx,3.88,0.9191314942154243
12,7,  Discrete Fourier Transform,DSphinx,16.29,0.061067101483468784
13,7,  Discrete Fourier Transform,Sphinx,10.47,0.313791616064465
14,8,  Non-overlapping Matchings,DSphinx,0.10766435354273217,0.999999964378014
15,8,  Non-overlapping Matchings,Sphinx,0.04269494156318463,0.9999999994303357
16,9,  Overlapping Matchings,DSphinx,7.84,0.5503474641773244
17,9,  Overlapping Matchings,Sphinx,30.12,0.0004185634343455116
18,10,  Universal Statistical,DSphinx,15.780000000000001,0.07162033800972283
19,10,  Universal Statistical,Sphinx,15.049999999999999,0.08957168661974053
20,11, Approximate Entropy,DSphinx,26.36,0.001783389528736274
21,11, Approximate Entropy,Sphinx,1.9,0.9929519746920032
22,12, Random Excursions,DSphinx,2.0971403301886795,0.9898365693350667
23,12, Random Excursions,Sphinx,1.5253466204506065,0.9969543290132369
24,13, Random Excursions Variant,DSphinx,0.7712749437068074,0.9998082762693152
25,13, Random Excursions Variant,Sphinx,0.7521770759783463,0.9998274040922311
26,14, Serial,DSphinx,4.07,0.9067451272314155
27,14, Serial,Sphinx,5.9275,0.7471519218556228
28,15,Linear Complexity,DSphinx,6.33,0.7064899122990426
29,15,Linear Complexity,Sphinx,7.31,0.604878370801992
