algo,iteration,test,p-value
Original,0,1,0.0
Original,0,2,0.0
Original,0,3,0.0
Original,0,4,0.0
Original,1,1,0.5390882817195949
Original,1,2,0.217330390889271
Original,1,3,0.7802199574869363
Original,1,4,0.7681355715523401
Original,2,1,0.6198391186854189
Original,2,2,0.4663083172602267
Original,2,3,0.8109949206021909
Original,2,4,0.5745139692765344
Original,3,1,0.6032718849809419
Original,3,2,0.7712655761041723
Original,3,3,0.9085021133055793
Original,3,4,0.6855937297267418
Original,4,1,0.47852097654419784
Original,4,2,0.8713082325564225
Original,4,3,0.16877529259211385
Original,4,4,0.9933364303587037
Original,5,1,0.24706152509165813
Original,5,2,0.04800065218848599
Original,5,3,0.48831739387347733
Original,5,4,0.37350455487129175
Original,6,1,0.6535522671496024
Original,6,2,0.7768640747714501
Original,6,3,0.08851803609657562
Original,6,4,0.03945566178397525
Original,7,1,0.6366016325636009
Original,7,2,0.26302359110062795
Original,7,3,0.2998299537116976
Original,7,4,0.954352817898717
Original,8,1,0.7587702000057319
Original,8,2,0.3884416333387099
Original,8,3,0.7046259554986671
Original,8,4,0.043390341821845584
Original,9,1,0.28777057773560444
Original,9,2,0.07360886992761304
Original,9,3,0.6270527290753292
Original,9,4,0.4485115439011925
Original,10,1,0.44969179796889097
Original,10,2,0.49214496637645705
Original,10,3,0.5502627305774068
Original,10,4,0.06893772489222202
Original,11,1,0.3820949220121075
Original,11,2,0.3795689663814205
Original,11,3,0.9175459331364336
Original,11,4,0.2702544520646454
Original,12,1,0.9435025420623953
Original,12,2,0.6073877521978156
Original,12,3,0.07261018532462123
Original,12,4,0.6836289197192926
Original,13,1,0.6366016325636009
Original,13,2,0.8517004458823216
Original,13,3,0.9268112525340038
Original,13,4,0.6407410477041644
Original,14,1,0.04991511416691819
Original,14,2,0.6394586727478584
Original,14,3,0.2096533976092451
Original,14,4,0.056239704341961405
Original,15,1,0.6535522671496024
Original,15,2,0.7878434057375696
Original,15,3,0.3459068995054515
Original,15,4,0.22097986433049135
Original,16,1,0.23754751779044125
Original,16,2,0.005630512109978017
Original,16,3,0.8076800456690117
Original,16,4,0.618563025837009
Original,17,1,0.3693638418253291
Original,17,2,0.4827280652474157
Original,17,3,0.05155818473524507
Original,17,4,0.01260351173180614
Original,18,1,0.08897301170181342
Original,18,2,0.1683774738475604
Original,18,3,0.547601520728399
Original,18,4,0.18678386793033105
Original,19,1,0.10819724752370152
Original,19,2,0.898538675039326
Original,19,3,0.9756774015021433
Original,19,4,0.7477344592600708
Original,20,1,0.23754751779044125
Original,20,2,0.23429140498854412
Original,20,3,0.6147384867424581
Original,20,4,0.36806345440794797
Original,21,1,0.6879878128600834
