algo,iteration,test,p-value
Decentralized,0,1,0.7949790371604146
Decentralized,0,2,0.31569318338547014
Decentralized,0,3,0.2571695067030188
Decentralized,0,4,0.446714417592072
Decentralized,1,1,0.8872880030303522
Decentralized,1,2,0.44998795289613214
Decentralized,1,3,0.5870690976227505
Decentralized,1,4,0.814865019561404
Decentralized,2,1,0.21056719782505498
Decentralized,2,2,0.49922001999992677
Decentralized,2,3,0.7988790174415454
Decentralized,2,4,0.32062382301747366
Decentralized,3,1,0.3950915849041502
Decentralized,3,2,0.3343173186482358
Decentralized,3,3,0.18300739154687243
Decentralized,3,4,0.027015092584949045
Decentralized,4,1,0.9059774116720972
Decentralized,4,2,0.5464883798338341
Decentralized,4,3,0.06536622535358941
Decentralized,4,4,0.32031261907078684
Decentralized,5,1,0.6366016325636009
Decentralized,5,2,0.854610507849567
Decentralized,5,3,0.8336871197445516
Decentralized,5,4,0.4049856839592473
Decentralized,6,1,0.08462430946084148
Decentralized,6,2,0.5841184824681133
Decentralized,6,3,0.1105983850127357
Decentralized,6,4,0.02899734420951485
Decentralized,7,1,0.3327777660739457
Decentralized,7,2,0.1153474175068887
Decentralized,7,3,0.043306301196732795
Decentralized,7,4,0.24286911431757757
Decentralized,8,1,0.7949790371604146
Decentralized,8,2,0.24306215383119373
Decentralized,8,3,0.395530529700727
Decentralized,8,4,0.5805757732501937
Decentralized,9,1,0.3693638418253291
Decentralized,9,2,0.8574842873144154
Decentralized,9,3,0.2813680121469529
Decentralized,9,4,0.05165876850328694
Decentralized,10,1,0.5390882817195949
Decentralized,10,2,0.9478381261334462
Decentralized,10,3,0.921176411842226
Decentralized,10,4,0.08396893785917132
Decentralized,11,1,0.570750388058174
Decentralized,11,2,0.4968606522131815
Decentralized,11,3,0.8902828224573811
Decentralized,11,4,0.16970858819119966
Decentralized,12,1,0.9247190374867695
Decentralized,12,2,0.1394532932122654
Decentralized,12,3,0.7230034719522891
Decentralized,12,4,0.9922925380502956
Decentralized,13,1,0.3327777660739457
Decentralized,13,2,0.8879242549867477
Decentralized,13,3,0.47161282270416244
Decentralized,13,4,0.27940252597169374
Decentralized,14,1,0.11348387694820622
Decentralized,14,2,0.02257928080422571
Decentralized,14,3,0.8547343043630418
Decentralized,14,4,0.3071108181482763
Decentralized,15,1,0.8686610629910667
Decentralized,15,2,0.14824250957353138
Decentralized,15,3,0.08468139625340373
Decentralized,15,4,0.35970933333826416
Decentralized,16,1,0.22829528710911837
Decentralized,16,2,0.7540481933737111
Decentralized,16,3,0.40459370495365266
Decentralized,16,4,0.016210307118140203
Decentralized,17,1,0.6879878128600834
Decentralized,17,2,0.6751363130024841
Decentralized,17,3,0.2560303041750668
Decentralized,17,4,0.45429290619140483
Decentralized,18,1,0.005311842342866088
Decentralized,18,2,0.07904901573619229
Decentralized,18,3,0.18630381795650516
Decentralized,18,4,0.012408496937639062
Decentralized,19,1,0.09349998770795126
Decentralized,19,2,0.17261927453727385
Decentralized,19,3,0.22274564441430722
Decentralized,19,4,0.26455727489338277
Decentralized,20,1,0.9811535017561899
Decentralized,20,2,0.9621567839253187
Decentralized,20,3,0.8686558652739554
Decentralized,20,4,0.3217987327113355
Decentralized,21,1,0.7949790371604146
Decentralized,21,2,0.8054789197584243
Decentralized,21,3,0.6192732642183807
Decentralized,21,4,0.6225219779044981
Decentralized,22,1,0.8686610629910667
Decentralized,22,2,0.6529749208820648
Decentralized,22,3,0.4358432218479808
Decentralized,22,4,0.20610503111930153
Decentralized,23,1,0.21056719782505498
Decentralized,23,2,0.1111310286549613
Decentralized,23,3,0.49644040262232497
Decentralized,23,4,0.18402185575363103
Decentralized,24,1,0.7054569861112734
Decentralized,24,2,0.891542626982713
Decentralized,24,3,0.8673306068883232
Decentralized,24,4,0.9339680202289462
Decentralized,25,1,0.28777057773560444
Decentralized,25,2,0.8350490902656722
Decentralized,25,3,0.9729538869770145
Decentralized,25,4,0.6074018070591773
Decentralized,26,1,0.3820949220121075
Decentralized,26,2,0.7617773169419322
Decentralized,26,3,0.8019269986230839
Decentralized,26,4,0.40344629987549463
Decentralized,27,1,0.11348387694820622
Decentralized,27,2,0.26862323867727683
Decentralized,27,3,0.16145393246437878
Decentralized,27,4,0.11512418853271623
Decentralized,28,1,0.3820949220121075
Decentralized,28,2,0.4154723772579518
Decentralized,28,3,0.3254902124297883
Decentralized,28,4,0.35463550401910576
Decentralized,29,1,0.3693638418253291
Decentralized,29,2,0.224021182622223
Decentralized,29,3,0.6297864540250637
Decentralized,29,4,0.6873123422701376
Decentralized,30,1,0.7408568142938687
Decentralized,30,2,0.6462359066827525
Decentralized,30,3,0.2465272184917533
Decentralized,30,4,0.7547379856329769
Decentralized,31,1,0.49330567679929904
Decentralized,31,2,0.7010376121584729
Decentralized,31,3,0.40518604370559697
Decentralized,31,4,0.9601108898590999
Decentralized,32,1,0.9811535017561899
Decentralized,32,2,0.9062991497013941
Decentralized,32,3,0.39509521130593317
Decentralized,32,4,0.4222902561194736
Decentralized,33,1,0.9247190374867695
Decentralized,33,2,0.014048782070636371
Decentralized,33,3,0.44975446823741094
Decentralized,33,4,0.5326156830273703
Decentralized,34,1,0.8316350586366162
Decentralized,34,2,0.6618972983145999
Decentralized,34,3,0.36907617614677085
Decentralized,34,4,0.36559610253473024
Decentralized,35,1,0.4083519693259383
Decentralized,35,2,0.21899132116258024
Decentralized,35,3,0.8195099130504702
Decentralized,35,4,0.2825224236910471
Decentralized,36,1,0.3327777660739457
Decentralized,36,2,0.2059247896655626
Decentralized,36,3,0.47161282270416244
Decentralized,36,4,0.6141295020710269
Decentralized,37,1,0.22829528710911837
Decentralized,37,2,0.7052733626347045
Decentralized,37,3,0.4824631146630822
Decentralized,37,4,0.6315564909629963
Decentralized,38,1,0.8501067391385259
Decentralized,38,2,0.8366078322616153
Decentralized,38,3,0.8504366348772483
Decentralized,38,4,0.6547130662035772
Decentralized,39,1,0.7587702000057319
Decentralized,39,2,0.12640873574926706
Decentralized,39,3,0.10843742930267387
Decentralized,39,4,0.12733549043490333
Decentralized,40,1,0.02193973384580337
Decentralized,40,2,0.18131876692179383
Decentralized,40,3,0.07381008037283278
Decentralized,40,4,0.7240406674558624
Decentralized,41,1,0.962317517108808
Decentralized,41,2,0.8271214753373654
Decentralized,41,3,0.5869248239115592
Decentralized,41,4,0.8756679656767847
Decentralized,42,1,0.21930264967931895
Decentralized,42,2,0.7823903670234498
Decentralized,42,3,0.8455311364614452
Decentralized,42,4,0.0808728964411687
Decentralized,43,1,0.3327777660739457
Decentralized,43,2,0.303560608706445
Decentralized,43,3,0.5463813430891202
Decentralized,43,4,0.08609236653038883
Decentralized,44,1,0.8686610629910667
Decentralized,44,2,0.8222583799700343
Decentralized,44,3,0.705695856868696
Decentralized,44,4,0.6297549425605178
Decentralized,45,1,0.8686610629910667
Decentralized,45,2,0.35342048242387714
Decentralized,45,3,0.6034956611230707
Decentralized,45,4,0.9240230498568043
Decentralized,46,1,0.21930264967931895
Decentralized,46,2,0.7199016674567718
Decentralized,46,3,0.39177624378413595
Decentralized,46,4,0.2121207246157745
Decentralized,47,1,0.21930264967931895
Decentralized,47,2,0.5911249264593091
Decentralized,47,3,0.9576865207598668
Decentralized,47,4,0.12439547483563627
Decentralized,48,1,0.22829528710911837
Decentralized,48,2,0.2723926480590777
Decentralized,48,3,0.9298529782869156
